Dti,Cscore_b,Curr_rte,Act_upb,Next_stat,UMP,yqtr,QGT_UMP,QDT_UMP,AG_UMP,lagging_UMP,QGT_GDP,QRT_GDP,AG_GDP,GDP_Annual_Rate,Ggr,CLTV,HS,PPI,Permits,Orig_chn,Orig_rt,Orig_trm,Num_bo
42,633,6,262311.07,CUR,9.8,2010Q1,-0.01012,-0.10000,18.95%,0.3,0.00384,1.00385,1.71%,1.55%,0.0038330486,110.28579769,618.00,182.07,657.67,B,6,360,1
42,633,6,259379.91,DEL,9.8,2010Q4,0.00351,0.03333,-4.36%,-0.166666667,0.00501,1.00502,2.57%,2.02%,0.0049939606,111.7082307,542.33,188.00,583.33,B,6,360,1
42,633,6,258373.25,DEL,9,2011Q1,-0.05037,-0.46667,-8.14%,0.0333333333,-0.00241,0.99760,1.93%,-0.96%,-0.002410208,112.71524246,582.33,195.90,567.00,B,6,360,1
42,633,6,257351.42,DEL,9,2011Q2,0.00368,0.03333,-5.88%,-0.466666667,0.00712,1.00715,1.72%,2.89%,0.0070989775,112.63380617,574.33,203.70,611.67,B,6,360,1
42,633,6,256661.66,DEL,9,2011Q3,-0.00738,-0.06667,-4.93%,0.0333333333,-0.00028,0.99972,0.95%,-0.11%,-0.000277864,112.81090822,619.33,203.83,626.00,B,6,360,1
42,633,6,255261.31,SDQ,8.6,2011Q4,-0.04159,-0.36667,-9.12%,-0.066666667,0.01153,1.01159,1.61%,4.72%,0.0114599959,113.9616293,671.67,200.77,691.33,B,6,360,1
29,632,4.875,141621.15,CUR,7.7,2012Q4,-0.02948,-0.23333,-9.65%,-0.166666667,0.00114,1.00114,1.47%,0.46%,0.0011374372,55.995577856,908.00,202.27,915.00,C,4.875,360,2
28,591,5.875,46439.7,CUR,3.9,2018Q4,0.00881,0.03333,-8.06%,-0.166666667,0.00271,1.00271,2.52%,1.09%,0.002705985,48.493780633,"1,176.00",202.63,"1,306.67",R,5.875,360,1
17,649,4.125,,PPY,8.2,2012Q2,-0.00810,-0.06667,-9.56%,-0.366666667,0.00429,1.00430,2.36%,1.73%,0.0042835871,58.118232679,739.33,201.80,774.00,C,4.125,360,2
23,651,6.5,174630.33,CUR,9.3,2010Q4,0.00351,0.03333,-4.36%,-0.166666667,0.00501,1.00502,2.57%,2.02%,0.0049939606,65.998683695,542.33,188.00,583.33,R,6.5,240,2
23,651,6.5,171072.77,DEL,9,2011Q3,-0.00738,-0.06667,-4.93%,0.0333333333,-0.00028,0.99972,0.95%,-0.11%,-0.000277864,66.238541643,619.33,203.83,626.00,R,6.5,240,2
23,651,6.5,169847.95,DEL,8.5,2011Q4,-0.04159,-0.36667,-9.12%,-0.066666667,0.01153,1.01159,1.61%,4.72%,0.0114599959,66.723798073,671.67,200.77,691.33,R,6.5,240,2
23,651,6.5,168603.13,DEL,8.2,2012Q1,-0.04340,-0.36667,-8.49%,-0.366666667,0.00780,1.00783,2.65%,3.17%,0.0077690962,65.640659762,707.33,202.17,752.00,R,6.5,240,2
23,651,6.5,167761.98,DEL,8.2,2012Q2,-0.00810,-0.06667,-9.56%,-0.366666667,0.00429,1.00430,2.36%,1.73%,0.0042835871,63.867768491,739.33,201.80,774.00,R,6.5,240,2
23,651,6.5,166052.14,DEL,7.8,2012Q3,-0.02053,-0.16667,-10.74%,-0.066666667,0.00135,1.00135,2.53%,0.54%,0.0013476634,62.384744719,780.33,202.40,873.00,R,6.5,240,2
23,651,6.5,165183.27,DEL,7.9,2012Q4,-0.02948,-0.23333,-9.65%,-0.166666667,0.00114,1.00114,1.47%,0.46%,0.0011374372,60.949849722,908.00,202.27,915.00,R,6.5,240,2
23,651,6.5,163417.12,CUR,7.5,2013Q1,-0.00858,-0.06667,-6.45%,-0.233333333,0.00882,1.00886,1.57%,3.59%,0.0087789975,58.508031071,953.33,203.60,952.00,R,6.5,240,2
